,省份,批次,分数线
0,湖北,第一批本科,490
1,湖北,第二批本科,465
2,北京,本科二批,488
3,天津,本科二批A阶段,466
4,河北,本科二批,488
5,山西,第二批本科A类,464
6,山西,第二批本科B类,413
7,内蒙古,本科二批,423
8,辽宁,本科第二批,474
9,吉林,第二批A段,455
10,黑龙江,本科第二批,463
11,上海,综合改革,438
12,江苏,本科第二批,324
13,浙江,综合改革,559
14,安徽,本科第二批,491
15,福建,本科二批,429
16,江西,第二批本科,503
17,山东,本科普通批,526
18,河南,本科二批,489
19,湖南,第二批本科,499
20,广东,第二批本科A类,477
21,广西,本科第二批,449
22,海南,本科第二批,605
23,重庆,本科第二批,483
24,四川,本科第二批,511
25,贵州,第二批本科,446
26,云南,第二批本科A类,481
27,陕西,本科二批,445
28,甘肃,本科二批（J段）,450
29,青海,第二批本科,378
30,宁夏,第二批本科,418
31,新疆,本科第二批,433
32,新疆,定向计划,358
