,省份,批次,分数线
0,湖北,第一批本科,516
1,湖北,第二批本科,486
2,北京,本科二批,495
3,天津,本科二批A阶段,445
4,河北,本科二批,525
5,山西,第二批本科A类,500
6,山西,第二批本科B类,439
7,内蒙古,本科二批,420
8,辽宁,本科第二批,483
9,吉林,第二批A段,421
10,黑龙江,本科第二批,484
11,江苏,本科第二批,335
12,安徽,本科第二批,519
13,福建,本科二批,447
14,江西,第二批本科,528
15,山东,本科普通批,534
16,河南,本科二批,525
17,河南,本科二批（中外合作办学）,469
18,湖南,第二批本科,513
19,广东,第二批本科A类,493
20,广西,本科第二批,441
21,海南,本科第二批,598
22,重庆,本科第二批,510
23,四川,本科第二批,527
24,贵州,第二批本科,449
25,云南,第二批本科A类,494
26,陕西,本科二批,462
27,甘肃,本科二批（J段）,470
28,青海,第二批本科,391
29,宁夏,第二批本科,452
30,新疆,本科第二批,453
31,新疆,贫困南单本二,403
