,省份,批次,分数线
0,天津,本科A阶段,407
1,海南,本科A批,539
2,上海,本科普通批（综合改革）,401
3,广东,本科批次,376
4,山东,本科普通批,435
5,北京,本科二批,432
6,内蒙古,本科二批,336
7,湖北,第一批本科,512
8,辽宁,本科二批,368
9,江苏,本科二批,285
10,河北,本科二批,358
11,陕西,本科二批,425
12,宁夏,二批本科,432
13,江西,第二批本科A段,447
14,青海,第二批本科,365
15,黑龙江,二批本科A,353
16,湖南,本科二批,450
17,甘肃,本科二批,436
18,重庆,本科第二批,428
19,河南,本科二批,374
20,浙江,综合改革,490
21,湖北,中外合作办学,569
22,贵州,第二批本科,379
23,吉林,第二批A段,405
24,四川,本科二批,458
25,山西,第二批本科A类,432
26,安徽,本科二批,432
27,福建,本科二批,378
28,云南,二本,430
29,新疆,贫困南单本二,341
