,省份,录取数
0,北京,4
1,天津,11
2,河北,70
3,山西,98
4,内蒙古,16
5,辽宁,5
6,吉林,5
7,黑龙江,5
8,上海,10
9,江苏,55
10,浙江,50
11,安徽,61
12,福建,30
13,江西,30
14,山东,22
15,河南,141
16,湖北,2756
17,湖南,61
18,广东,20
19,广西,95
20,海南,10
21,重庆,15
22,四川,38
23,贵州,137
24,云南,50
25,陕西,15
26,甘肃,65
27,青海,5
28,宁夏,5
