,省份,录取数
0,北京,3
1,天津,10
2,河北,55
3,山西,106
4,内蒙古,16
5,辽宁,5
6,吉林,5
7,黑龙江,5
8,上海,10
9,江苏,55
10,浙江,50
11,安徽,55
12,福建,30
13,江西,23
14,山东,17
15,河南,130
16,湖北,2682
17,湖南,60
18,广东,20
19,广西,116
20,海南,10
21,重庆,15
22,四川,76
23,贵州,152
24,云南,60
25,陕西,15
26,甘肃,80
27,青海,5
28,宁夏,5
29,新疆,34
30,预留,100
