,省份,录取数
0,新疆,34
1,云南,61
2,四川,76
3,吉林,5
4,湖北,2828
5,广西,119
6,山西,106
7,陕西,15
8,河南,141
9,甘肃,80
10,重庆,15
11,黑龙江,6
12,浙江,50
13,湖南,60
14,江西,23
15,贵州,153
16,宁夏,5
17,内蒙古,17
18,安徽,72
19,江苏,57
20,河北,64
21,辽宁,6
22,上海,10
23,海南,10
24,福建,34
25,山东,20
26,广东,20
27,北京,3
28,天津,10
29,青海,5
